domain,domain_age,ssl_valid,whois_available,suspicious_tld,domain_reputation_score,domain_risk_score
spacewood.in,0,True,False,False,60.0,40.0
zerolatencyvr.in,0,True,False,False,60.0,40.0
eduminatti.com,2198,True,True,False,100.0,0.0
asatkalpa.com,1788,True,True,False,100.0,0.0
node.js,0,False,True,False,50.0,50.0
samayogliving.in,0,True,False,False,60.0,40.0
csquaretech.com,8719,True,True,False,100.0,0.0
trippleonesolutions.com,879,True,True,False,100.0,0.0
flypen.in,0,True,False,False,60.0,40.0
datazymes.com,3934,True,True,False,100.0,0.0
skygoaltech.com,2112,True,True,False,100.0,0.0
visualmosaics.com,1083,True,True,False,100.0,0.0
xtnsion.ai,588,True,True,False,100.0,0.0
housing.com,11655,True,True,False,100.0,0.0
digitalcircle.co.in,0,False,False,False,30.0,70.0
talentsocio.com,4035,True,True,False,100.0,0.0
astamdiagno.com,2975,True,True,False,100.0,0.0
webiators.com,2663,True,True,False,100.0,0.0
mukulgoyal.com,7208,True,True,False,100.0,0.0
ascgroup.in,0,False,False,False,30.0,70.0
ekokintsugi.com,210,True,True,False,90.0,10.0
megaxminds.github.io,4852,True,True,False,100.0,0.0
maxgentechnologies.com,3692,True,True,False,100.0,0.0
mojingo.co,49,True,True,False,80.0,20.0
igdrones.com,2317,True,True,False,100.0,0.0
v81group.com,2591,True,True,False,100.0,0.0
hungama.org,7086,True,True,False,100.0,0.0
zelleducation.com,3755,True,True,False,100.0,0.0
storymirror.com,4450,True,True,False,100.0,0.0
qcstechnologies.com,4440,True,True,False,100.0,0.0
plutusventures.in,0,True,False,False,60.0,40.0
yelp.com,8226,True,True,False,100.0,0.0
addexmediahub.com,273,True,True,False,90.0,10.0
cocomadigital.com,2216,True,True,False,100.0,0.0
thehivehostels.com,2095,True,True,False,100.0,0.0
flydivinetravels.com,1457,True,True,False,100.0,0.0
uniqoemedia.com,1678,True,True,False,100.0,0.0
getinge.com,10770,True,True,False,100.0,0.0
duendedesigns.com,1813,True,True,False,100.0,0.0
subspace.money,0,True,True,False,80.0,20.0
cleartax.in,0,True,False,False,60.0,40.0
locobear.com,1364,True,True,False,100.0,0.0
warewe.com,4665,True,True,False,100.0,0.0
bridgevisas.eu,0,True,True,False,80.0,20.0
forms.gle,0,True,True,False,80.0,20.0
